Application_ID,Application_Date,Student_ID,Company,Skill,Education,Gender,Region,Experience_Years,Application_Status,Processing_Days,Company_Size
APP1001,2025-01-01 00:00:00.000,Student_103,InnoSoft,Power BI,BTECH,Male,South,4.0,Rejected,10.0,Enterprise
APP1002,2025-01-01 14:35:03.506,Student_436,ByteWorks,"Python, SQL, Power BI",MSC,Female,West,2.0,Rejected,11.0,Mid-Size
APP1003,2025-01-02 05:10:07.012,Student_349,CodeCraft,"Python, Power BI",BCA,Male,North,4.0,Shortlisted,1.0,Enterprise
APP1004,2025-01-02 19:45:10.518,Student_271,InnoSoft,"Python, SQL",MSC,Male,West,1.0,Shortlisted,15.0,Mid-Size
APP1005,2025-01-03 10:20:14.023,Student_107,TechNova,"Python, SQL",BSC,Male,South,0.0,Selected,3.0,Enterprise
APP1006,2025-01-04 00:55:17.529,Student_072,MarketMind,"Python, Power BI",BSC,Male,Central,2.0,Rejected,12.0,Enterprise
APP1007,2025-01-04 15:30:21.035,Student_189,MarketMind,"SQL, Excel",BTECH,Female,East,2.0,Interview,9.0,Startup
APP1008,2025-01-05 06:05:24.541,Student_021,TechNova,"Python, SQL, Power BI",MSC,Female,West,4.0,Shortlisted,5.0,Enterprise
APP1009,2025-01-05 20:40:28.047,Student_103,DataSphere,"Python, SQL, Power BI",BCA,Female,West,1.0,Rejected,12.0,Enterprise
APP1010,2025-01-06 11:15:31.553,Student_122,NextGen,"Python, Power BI",BCA,Male,North,1.0,Shortlisted,10.0,Mid-Size
APP1011,2025-01-07 01:50:35.058,Student_467,CodeCraft,SQL,MCA,Male,North,6.0,Interview,15.0,Enterprise
APP1012,2025-01-07 16:25:38.564,Student_215,InsightLabs,"Excel, Tableau",BCA,Male,West,4.0,Shortlisted,2.0,Startup
APP1013,2025-01-08 07:00:42.070,Student_331,InnoSoft,Python,BTECH,Male,South,1.0,Shortlisted,7.0,Mid-Size
APP1014,2025-01-08 21:35:45.576,Student_459,TechNova,"Python, Power BI",BTECH,Male,East,5.0,Rejected,15.0,Mid-Size
APP1015,2025-01-09 12:10:49.082,Student_088,ByteWorks,Power BI,BCA,Female,North,3.0,Selected,2.0,Startup
APP1016,2025-01-10 02:45:52.588,Student_373,InnoSoft,Power BI,BCA,Male,South,6.0,Applied,4.0,Mid-Size
APP1017,2025-01-10 17:20:56.093,Student_100,NextGen,Tableau,MCA,Male,Central,5.0,Interview,12.0,Mid-Size
APP1018,2025-01-11 07:55:59.599,Student_360,ByteWorks,"Python, Power BI",BCA,Male,North,0.0,Shortlisted,7.0,Mid-Size
APP1019,2025-01-11 22:31:03.105,Student_152,FinEdge,Tableau,MCA,Male,South,2.0,Shortlisted,4.0,Mid-Size
APP1020,2025-01-12 13:06:06.611,Student_131,MarketMind,"Python, Power BI",MCA,Male,South,6.0,Applied,7.0,Startup
APP1021,2025-01-13 03:41:10.117,Student_150,FinEdge,"Python, SQL, Power BI",BCA,Female,East,0.0,Shortlisted,7.0,Startup
APP1022,2025-01-13 18:16:13.623,Student_309,InnoSoft,Python,BSC,Female,East,2.0,Rejected,1.0,Mid-Size
APP1023,2025-01-14 08:51:17.129,Student_258,NextGen,"Python, SQL, Power BI",BSC,Female,West,3.0,Applied,6.0,Mid-Size
APP1024,2025-01-14 23:26:20.634,Student_344,CodeCraft,"Excel, Tableau",MCA,Male,South,1.0,Shortlisted,9.0,Startup
APP1025,2025-01-15 14:01:24.140,Student_492,InnoSoft,"Python, SQL",BCA,Male,South,5.0,Selected,2.0,Startup
APP1026,2025-01-16 04:36:27.646,Student_414,TechNova,Excel,BSC,Female,East,4.0,Applied,14.0,Startup
APP1027,2025-01-16 19:11:31.152,Student_294,CloudCore,"Python, Power BI",BCA,Male,North,5.0,Interview,3.0,Mid-Size
APP1028,2025-01-17 09:46:34.658,Student_386,InnoSoft,"Excel, Tableau",BCA,Female,North,3.0,Shortlisted,10.0,Mid-Size
APP1029,2025-01-18 00:21:38.164,Student_192,MarketMind,"Python, SQL",BCA,Male,West,0.0,Rejected,5.0,Enterprise
APP1030,2025-01-18 14:56:41.669,Student_444,MarketMind,"SQL, Excel",MSC,Male,East,4.0,Shortlisted,9.0,Startup
APP1031,2025-01-19 05:31:45.175,Student_277,InnoSoft,Python,BCA,Male,West,1.0,Applied,4.0,Mid-Size
APP1032,2025-01-19 20:06:48.681,Student_161,ByteWorks,Tableau,BCA,Male,East,3.0,Applied,1.0,Startup
APP1033,2025-01-20 10:41:52.187,Student_460,CloudCore,Tableau,MCA,Female,Central,4.0,Applied,4.0,Mid-Size
APP1034,2025-01-21 01:16:55.693,Student_314,TechNova,"Python, SQL, Power BI",BSC,Male,South,3.0,Shortlisted,6.0,Startup
APP1035,2025-01-21 15:51:59.199,Student_022,InnoSoft,Power BI,BSC,Male,Central,3.0,Rejected,5.0,Mid-Size
APP1036,2025-01-22 06:27:02.705,Student_253,ByteWorks,"Python, SQL",BSC,Male,East,1.0,Selected,14.0,Enterprise
APP1037,2025-01-22 21:02:06.210,Student_236,MarketMind,"SQL, Excel",BSC,Male,South,6.0,Interview,13.0,Enterprise
APP1038,2025-01-23 11:37:09.716,Student_345,MarketMind,"Excel, Tableau",BSC,Female,North,2.0,Rejected,1.0,Startup
